< 22:15:37.731.140        720      03 22 f4 7f 00 00 00 00 
< 22:15:52.791.043        7e0      03 22 f1 83 00 00 00 00 
< 22:15:52.811.349        7e8      03 7f 22 31 00 00 00 00 
< 22:15:52.964.838        7e0      02 3e 00 00 00 00 00 00 
< 22:15:52.991.077        7e8      02 7e 00 00 00 00 00 00 
< 22:15:53.424.117        7df      02 09 02 00 00 00 00 00 
< 22:15:53.441.723        7e8      10 14 49 02 01 35 4c 4d 
< 22:15:53.442.441        7e0      30 00 00 00 00 00 00 00 
< 22:15:53.471.217        7e8      21 43 4a 33 44 39 30 4a 
< 22:15:53.501.776        7e8      22 55 4c 30 31 35 31 39 
< 22:15:53.923.659        7e0      03 22 f1 24 00 00 00 00 
< 22:15:53.951.130        7e8      03 7f 22 31 00 00 00 00 
< 22:15:53.960.955        7e0      03 22 f1 88 00 00 00 00 
< 22:15:53.984.357        7e8      10 1b 62 f1 88 48 4a 37 
< 22:15:53.985.035        7e0      30 00 00 00 00 00 00 00 
< 22:15:54.011.265        7e8      21 41 2d 31 34 43 32 30 
< 22:15:54.041.691        7e8      22 34 2d 46 46 00 00 00 
< 22:15:54.070.984        7e8      23 00 00 00 00 00 00 00 
< 22:15:55.804.417        7e0      03 22 09 df 00 00 00 00 
< 22:15:55.810.629        7e8      03 7f 22 31 00 00 00 00 
< 22:15:55.890.413        7e0      03 22 f1 90 00 00 00 00 
< 22:15:55.902.199        7e8      10 1b 62 f1 90 35 4c 4d 
< 22:15:55.902.791        7e0      30 00 00 00 00 00 00 00 
< 22:15:55.930.586        7e8      21 43 4a 33 44 39 30 4a 
< 22:15:55.961.438        7e8      22 55 4c 30 31 35 31 39 
< 22:15:55.990.711        7e8      23 00 00 00 00 00 00 00 
< 22:15:56.134.239        7e0      03 22 09 44 00 00 00 00 
< 22:15:56.141.213        7e8      03 7f 22 31 00 00 00 00 
< 22:15:56.149.191        7e0      03 22 16 f0 00 00 00 00 
< 22:15:56.171.283        7e8      03 7f 22 31 00 00 00 00 
< 22:15:56.230.337        7e0      03 22 16 f1 00 00 00 00 
< 22:15:56.231.116        7e8      03 7f 22 31 00 00 00 00 
< 22:16:10.683.903        7d0      03 22 d1 00 00 00 00 00 
< 22:16:10.686.641        7d8      04 62 d1 00 01 00 00 00 
< 22:16:10.724.301        7d0      03 19 02 8f 00 00 00 00 
< 22:16:10.726.879        7d8      03 59 02 cb 00 00 00 00 
< 22:16:10.787.353        7d0      03 22 f1 12 00 00 00 00 
< 22:16:10.798.837        7d8      03 7f 22 31 00 00 00 00 
< 22:16:10.808.631        7d0      03 22 f1 13 00 00 00 00 
< 22:16:10.818.982        7d8      10 1b 62 f1 13 4a 4c 37 
< 22:16:10.820.229        7d0      30 00 00 00 00 00 00 00 
< 22:16:10.826.685        7d8      21 54 2d 31 34 47 33 37 
< 22:16:10.840.414        7d8      22 31 2d 43 43 43 00 00 
< 22:16:10.846.681        7d8      23 00 00 00 00 00 00 00 
< 22:16:10.939.329        7d0      03 22 f1 88 00 00 00 00 
< 22:16:10.946.615        7d8      10 1b 62 f1 88 47 42 35 
< 22:16:10.947.182        7d0      30 00 00 00 00 00 00 00 
< 22:16:10.960.019        7d8      21 54 2d 31 34 47 33 37 
< 22:16:10.966.643        7d8      22 34 2d 43 44 00 00 00 
< 22:16:10.983.234        7d8      23 00 00 00 00 00 00 00 
< 22:16:11.260.055        726      03 22 d1 00 00 00 00 00 
< 22:16:11.263.015        72e      04 62 d1 00 01 00 00 00 
< 22:16:11.334.610        726      03 19 02 8f 00 00 00 00 
< 22:16:11.343.036        72e      03 59 02 ca 00 00 00 00 
< 22:16:11.560.012        726      03 22 f1 0a 00 00 00 00 
< 22:16:11.562.914        72e      10 1b 62 f1 0a 4a 4a 37 
< 22:16:11.563.504        726      30 00 00 00 00 00 00 00 
< 22:16:11.572.524        72e      21 54 2d 31 34 43 36 33 
< 22:16:11.583.137        72e      22 36 2d 41 41 00 00 00 
< 22:16:11.592.796        72e      23 00 00 00 00 00 00 00 
< 22:16:11.647.046        726      03 22 f1 7d 00 00 00 00 
< 22:16:11.652.823        72e      10 1b 62 f1 7d 4a 4a 37 
< 22:16:11.653.391        726      30 00 00 00 00 00 00 00 
< 22:16:11.662.673        72e      21 54 2d 31 34 47 31 36 
< 22:16:11.672.649        72e      22 32 2d 42 41 00 00 00 
< 22:16:11.683.231        72e      23 00 00 00 00 00 00 00 
< 22:16:11.753.529        726      03 22 f1 6c 00 00 00 00 
< 22:16:11.762.795        72e      10 1b 62 f1 6c 4a 4a 37 
< 22:16:11.763.359        726      30 00 00 00 00 00 00 00 
< 22:16:11.772.689        72e      21 54 2d 31 34 46 33 39 
< 22:16:11.783.000        72e      22 30 2d 41 41 41 00 00 
< 22:16:11.792.604        72e      23 00 00 00 00 00 00 00 
< 22:16:11.863.985        726      03 22 f1 6e 00 00 00 00 
< 22:16:11.872.547        72e      10 1b 62 f1 6e 4a 4a 37 
< 22:16:11.873.123        726      30 00 00 00 00 00 00 00 
< 22:16:11.883.134        72e      21 54 2d 31 34 47 31 36 
< 22:16:11.892.695        72e      22 33 2d 41 41 41 00 00 
< 22:16:11.903.609        72e      23 00 00 00 00 00 00 00 
< 22:16:11.961.049        726      03 22 f1 6d 00 00 00 00 
< 22:16:11.972.618        72e      10 1b 62 f1 6d 48 4a 37 
< 22:16:11.973.174        726      30 00 00 00 00 00 00 00 
< 22:16:11.983.251        72e      21 54 2d 31 34 46 33 38 
< 22:16:11.992.541        72e      22 39 2d 41 41 00 00 00 
< 22:16:12.002.807        72e      23 00 00 00 00 00 00 00 
< 22:16:12.070.940        726      03 22 f1 6b 00 00 00 00 
< 22:16:12.072.750        72e      10 1b 62 f1 6b 4a 55 35 
< 22:16:12.073.361        726      30 00 00 00 00 00 00 00 
< 22:16:12.082.907        72e      21 54 2d 31 34 46 33 39 
< 22:16:12.092.561        72e      22 31 2d 41 41 41 00 00 
< 22:16:12.103.765        72e      23 00 00 00 00 00 00 00 
< 22:16:12.191.822        726      03 22 f1 13 00 00 00 00 
< 22:16:12.203.076        72e      10 1b 62 f1 13 4a 55 35 
< 22:16:12.203.641        726      30 00 00 00 00 00 00 00 
< 22:16:12.212.583        72e      21 54 2d 31 34 42 34 37 
< 22:16:12.222.917        72e      22 36 2d 41 41 46 00 00 
< 22:16:12.232.601        72e      23 00 00 00 00 00 00 00 
< 22:16:12.313.100        726      03 22 f1 88 00 00 00 00 
< 22:16:12.322.701        72e      10 1b 62 f1 88 4a 55 35 
< 22:16:12.323.261        726      30 00 00 00 00 00 00 00 
< 22:16:12.332.576        72e      21 54 2d 31 34 43 31 38 
< 22:16:12.342.863        72e      22 34 2d 41 41 45 00 00 
< 22:16:12.352.543        72e      23 00 00 00 00 00 00 00 
< 22:16:12.430.560        726      03 22 f1 11 00 00 00 00 
< 22:16:12.432.715        72e      10 1b 62 f1 11 4a 55 35 
< 22:16:12.433.390        726      30 00 00 00 00 00 00 00 
< 22:16:12.442.677        72e      21 54 2d 31 34 46 31 34 
< 22:16:12.452.649        72e      22 31 2d 41 41 42 00 00 
< 22:16:12.462.802        72e      23 00 00 00 00 00 00 00 
< 22:16:12.589.205        726      03 22 f1 0a 00 00 00 00 
< 22:16:12.592.643        72e      10 1b 62 f1 0a 4a 4a 37 
< 22:16:12.593.234        726      30 00 00 00 00 00 00 00 
< 22:16:12.602.880        72e      21 54 2d 31 34 43 36 33 
< 22:16:12.612.730        72e      22 36 2d 41 41 00 00 00 
< 22:16:12.622.753        72e      23 00 00 00 00 00 00 00 
< 22:16:12.759.922        726      03 22 de 00 00 00 00 00 
< 22:16:12.762.838        72e      10 0d 62 de 00 00 01 01 
< 22:16:12.763.406        726      30 00 00 00 00 00 00 00 
< 22:16:12.772.458        72e      21 01 00 0a 00 01 01 00 
< 22:16:12.862.940        726      03 22 de 01 00 00 00 00 
< 22:16:12.872.564        72e      10 0d 62 de 01 00 1d 00 
< 22:16:12.873.124        726      30 00 00 00 00 00 00 00 
< 22:16:12.883.474        72e      21 01 01 00 01 00 00 00 
< 22:16:13.004.474        726      03 22 de 02 00 00 00 00 
< 22:16:13.012.536        72e      04 62 de 02 01 00 00 00 
< 22:16:13.087.387        726      03 22 de 03 00 00 00 00 
< 22:16:13.092.638        72e      10 0d 62 de 03 0c 01 00 
< 22:16:13.093.190        726      30 00 00 00 00 00 00 00 
< 22:16:13.103.539        72e      21 00 09 09 0c 0c 13 00 
< 22:16:13.189.965        726      03 22 de 04 00 00 00 00 
< 22:16:13.192.511        72e      10 0d 62 de 04 00 00 01 
< 22:16:13.193.113        726      30 00 00 00 00 00 00 00 
< 22:16:13.203.345        72e      21 08 02 01 01 02 00 00 
< 22:16:13.282.506        726      03 22 de 05 00 00 00 00 
< 22:16:13.292.572        72e      10 0d 62 de 05 00 00 00 
< 22:16:13.293.130        726      30 00 00 00 00 00 00 00 
< 22:16:13.303.923        72e      21 00 00 00 00 00 02 01 
< 22:16:13.382.972        726      03 22 de 06 00 00 00 00 
< 22:16:13.392.633        72e      10 0d 62 de 06 00 00 13 
< 22:16:13.393.209        726      30 00 00 00 00 00 00 00 
< 22:16:13.402.583        72e      21 88 05 00 00 00 0a 8c 
< 22:16:13.482.967        726      03 22 de 07 00 00 00 00 
< 22:16:13.492.445        72e      10 0d 62 de 07 01 01 00 
< 22:16:13.493.133        726      30 00 00 00 00 00 00 00 
< 22:16:13.503.836        72e      21 00 00 00 00 00 00 00 
< 22:16:13.582.762        726      03 22 de 08 00 00 00 00 
< 22:16:13.592.673        72e      10 09 62 de 08 35 4c 4d 
< 22:16:13.593.254        726      30 00 00 00 00 00 00 00 
< 22:16:13.602.765        72e      21 43 4a 33 00 00 00 00 
< 22:16:13.682.940        726      03 22 de 09 00 00 00 00 
< 22:16:13.692.655        72e      10 09 62 de 09 44 39 30 
< 22:16:13.693.253        726      30 00 00 00 00 00 00 00 
< 22:16:13.707.584        72e      21 4a 55 4c 00 00 00 00 
< 22:16:13.794.095        726      03 22 de 0a 00 00 00 00 
< 22:16:13.803.053        72e      10 08 62 de 0a 30 31 35 
< 22:16:13.803.619        726      30 00 00 00 00 00 00 00 
< 22:16:13.812.553        72e      21 31 39 00 00 00 00 00 
< 22:16:13.891.714        726      03 22 de 0b 00 00 00 00 
< 22:16:13.903.623        72e      10 09 62 de 0b 01 5f 08 
< 22:16:13.904.231        726      30 00 00 00 00 00 00 00 
< 22:16:13.912.427        72e      21 84 70 86 00 00 00 00 
< 22:16:13.999.248        726      03 22 de 0c 00 00 00 00 
< 22:16:14.002.628        72e      10 09 62 de 0c 40 88 20 
< 22:16:14.003.181        726      30 00 00 00 00 00 00 00 
< 22:16:14.012.426        72e      21 85 00 00 00 00 00 00 
< 22:16:14.131.035        726      03 22 de 0d 00 00 00 00 
< 22:16:14.142.685        72e      10 0d 62 de 0d 00 01 00 
< 22:16:14.143.668        726      30 00 00 00 00 00 00 00 
< 22:16:14.152.454        72e      21 00 01 14 14 14 14 14 
< 22:16:14.259.950        726      03 22 de 0e 00 00 00 00 
< 22:16:14.262.852        72e      10 0d 62 de 0e 01 01 01 
< 22:16:14.263.416        726      30 00 00 00 00 00 00 00 
< 22:16:14.272.426        72e      21 01 01 00 00 00 00 00 
< 22:16:14.398.590        726      03 22 de 0f 00 00 00 00 
< 22:16:14.402.632        72e      10 0d 62 de 0f 01 01 01 
< 22:16:14.403.184        726      30 00 00 00 00 00 00 00 
< 22:16:14.412.514        72e      21 01 01 01 01 01 01 01 
< 22:16:14.499.573        726      03 22 de 10 00 00 00 00 
< 22:16:14.503.902        72e      10 0d 62 de 10 01 01 01 
< 22:16:14.504.891        726      30 00 00 00 00 00 00 00 
< 22:16:14.512.379        72e      21 01 01 01 01 01 01 01 
< 22:16:14.609.944        726      03 22 de 11 00 00 00 00 
< 22:16:14.612.447        72e      10 0d 62 de 11 01 01 01 
< 22:16:14.613.035        726      30 00 00 00 00 00 00 00 
< 22:16:14.622.892        72e      21 01 01 00 00 00 00 00 
< 22:16:14.761.331        726      03 22 de 12 00 00 00 00 
< 22:16:14.772.521        72e      10 0d 62 de 12 00 00 00 
< 22:16:14.773.092        726      30 00 00 00 00 00 00 00 
< 22:16:14.783.173        72e      21 00 00 00 00 00 00 00 
< 22:16:14.872.306        726      03 22 de 13 00 00 00 00 
< 22:16:14.883.520        72e      10 0d 62 de 13 03 03 03 
< 22:16:14.884.076        726      30 00 00 00 00 00 00 00 
< 22:16:14.892.544        72e      21 03 03 01 01 01 01 01 
< 22:16:14.983.609        726      03 22 de 14 00 00 00 00 
< 22:16:14.992.389        72e      10 0d 62 de 14 14 01 00 
< 22:16:14.992.945        726      30 00 00 00 00 00 00 00 
< 22:16:15.002.613        72e      21 01 01 01 01 01 00 00 
< 22:16:15.107.215        726      03 22 de 15 00 00 00 00 
< 22:16:15.112.437        72e      10 0d 62 de 15 00 03 01 
< 22:16:15.113.007        726      30 00 00 00 00 00 00 00 
< 22:16:15.122.594        72e      21 01 00 00 01 00 00 aa 
< 22:16:15.202.937        726      03 22 de 16 00 00 00 00 
< 22:16:15.212.437        72e      04 62 de 16 02 00 00 00 
< 22:16:15.297.791        726      03 22 de 17 00 00 00 00 
< 22:16:15.303.935        72e      10 0d 62 de 17 01 00 01 
< 22:16:15.304.673        726      30 00 00 00 00 00 00 00 
< 22:16:15.312.547        72e      21 80 04 00 00 00 00 00 
< 22:16:15.443.175        726      03 22 de 18 00 00 00 00 
< 22:16:15.452.507        72e      10 0d 62 de 18 00 00 01 
< 22:16:15.453.086        726      30 00 00 00 00 00 00 00 
< 22:16:15.462.653        72e      21 00 01 00 01 00 00 00 
< 22:16:15.538.532        726      03 22 de 19 00 00 00 00 
< 22:16:15.542.537        72e      10 0d 62 de 19 01 00 00 
< 22:16:15.543.087        726      30 00 00 00 00 00 00 00 
< 22:16:15.552.478        72e      21 00 00 00 01 01 00 00 
< 22:16:15.711.414        726      03 22 de 1a 00 00 00 00 
< 22:16:15.722.945        72e      10 0d 62 de 1a 01 00 00 
< 22:16:15.723.517        726      30 00 00 00 00 00 00 00 
< 22:16:15.732.506        72e      21 01 00 00 00 00 00 00 
< 22:16:15.848.475        726      03 22 de 1b 00 00 00 00 
< 22:16:15.852.548        72e      10 0d 62 de 1b 01 00 00 
